t_s,alt_m,downrange_km,V_mps,gamma_deg,q_Pa,Qdot_Wm2,sigma_deg,Mach,lat_deg,lon_deg
122.4,12237.396747107618,500.5924177291978,2302.0137817021086,-4.24376991392707,17596.244732727766,170493.19286597968,68.26153920847952,10.290430999260515,-12.850161302480048,-176.44415818997822
122.5,12220.41957488656,500.8111416618072,2297.0773991587425,-4.224047726928435,17547.677945330288,169473.75422072728,68.26153920847952,10.268363919943067,-12.846504530186092,-176.44290661934582
122.60000000000001,12203.557482021395,501.02933167460714,2292.1546105010093,-4.204368165210774,17499.109717524956,168460.23437247385,68.26153920847952,10.246357613670952,-12.842856801302155,-176.4416536770436
122.7,12186.809862659778,501.24698908185104,2287.245416068074,-4.184731450513429,17450.542403488536,167452.61438875462,68.26153920847952,10.22441208190916,-12.839218093238417,-176.44039937725063
122.80000000000001,12170.176112529356,501.46411519962714,2282.349815539677,-4.165137802196701,17401.978328332767,166450.87506150597,68.26153920847952,10.202527323175262,-12.835588383375692,-176.4391437340837
122.9,12153.655628954526,501.6807113458066,2277.467807944314,-4.145587437250618,17353.419788214498,165454.9969147216,68.26153920847952,10.180703333075988,-12.831967649066785,-176.43788676159727
123.0,12137.24781087134,501.8967788399639,2272.5993916673815,-4.126080570303875,17304.86905045209,164464.9602120223,68.26153920847952,10.158940104343625,-12.828355867637825,-176.436628473783
123.10000000000001,12120.952058843337,502.1123190032774,2267.744564459294,-4.1066174136329225,17256.328353643657,163480.7449641193,68.26153920847952,10.13723762687231,-12.824753016389595,-176.4353688845697
123.2,12104.767775076441,502.3273331584962,2262.903323443562,-4.087198177171198,17207.799907789915,162502.33093618407,68.26153920847952,10.115595887754136,-12.821159072598848,-176.43410800782308
123.30000000000001,12088.694363432005,502.54182262981215,2258.0756651248385,-4.067823068518512,17159.285894423065,161529.69765513254,68.26153920847952,10.094014871315128,-12.817574013519598,-176.43284585734543
123.4,12072.731229443569,502.7557887428025,2253.2615853969264,-4.0484922929505744,17110.788466732665,160562.82441678154,68.26153920847952,10.072494559151025,-12.813997816384417,-176.43158244687558
123.5,12056.877780328039,502.96923282438115,2248.461079550753,-4.029206053428651,17062.309749703243,159601.690292948,68.26153920847952,10.051034930162933,-12.810430458405696,-176.43031779008857
123.60000000000001,12041.133425001055,503.1821562026925,2243.6741422823,-4.009964550609367,17013.851840247997,158646.2741384168,68.26153920847952,10.029635960592781,-12.806871916776917,-176.42905190059554
123.7,12025.49757408956,503.3945602070337,2238.900767700503,-3.990767982854623,16965.416807349575,157696.5545978316,68.26153920847952,10.008297624058613,-12.803322168673889,-176.42778479194354
123.80000000000001,12009.969639944378,503.60644616780894,2234.1409493351002,-3.9716165462416564,16917.006692203337,156752.5101124854,68.26153920847952,9.987019891589698,-12.799781191255988,-176.4265164776154
123.9,11994.549036653247,503.81781541644455,2229.394680144453,-3.9525104345732154,16868.623508362423,155814.11892701156,68.26153920847952,9.96580273166146,-12.796248961667375,-176.42524697102942
124.0,11979.235180051997,504.02866928531125,2224.661952523314,-3.93344983938785,16820.26924188796,154881.35909598763,68.26153920847952,9.944646110230229,-12.7927254570382,-176.42397628553954
124.10000000000001,11964.027487737127,504.239009107659,2219.942758310559,-3.914434949970326,16771.94585149946,153954.20849043393,68.26153920847952,9.923549990767784,-12.7892106544858,-176.42270443443482
124.2,11948.925379077904,504.44883621755787,2215.237088796873,-3.8954659533621427,16723.655268728086,153032.64480421698,68.26153920847952,9.902514334295718,-12.785704531115877,-176.42143143093958
124.30000000000001,11933.928275226615,504.65815194979524,2210.544934732396,-3.87654303437217,16675.399398074842,152116.6455603701,68.26153920847952,9.881539099419616,-12.78220706402367,-176.42015728821323
124.4,11919.03559912974,504.86695763985955,2205.866286334319,-3.8576663755873772,16627.180117169322,151206.18811731058,68.26153920847952,9.860624242363007,-12.7787182302951,-176.41888201935006
124.5,11904.24677553866,505.07525462382307,2201.201133294438,-3.838836157383676,16578.999276931077,150301.24967496493,68.26153920847952,9.839769717001136,-12.775238007007921,-176.41760563737918
124.60000000000001,11889.561231019907,505.2830442383003,2196.5494647866635,-3.8200525579368523,16530.85870173352,149401.80728080147,68.26153920847952,9.818975474894518,-12.771766371232845,-176.41632815526447
